,0,1,2,3
Jbar_rbs_link_1,0,0,0,0
Jbar_rbs_link_2,0,0,0,0
Jbar_rbs_link_3,0,0,0,0
Jbar_rbs_rocker_1,0,0,0,0
Jbar_rbs_rocker_2,0,0,0,0
Jbar_rbs_rocker_3,0,0,0,0
Jbar_rbs_table,0,0,0,0
P_rbs_link_1,1,0,0,0
P_rbs_link_2,1,0,0,0
P_rbs_link_3,1,0,0,0
P_rbs_rocker_1,1,0,0,0
P_rbs_rocker_2,1,0,0,0
P_rbs_rocker_3,1,0,0,0
P_rbs_table,1,0,0,0
Pd_rbs_link_1,0,0,0,0
Pd_rbs_link_2,0,0,0,0
Pd_rbs_link_3,0,0,0,0
Pd_rbs_rocker_1,0,0,0,0
Pd_rbs_rocker_2,0,0,0,0
Pd_rbs_rocker_3,0,0,0,0
Pd_rbs_table,0,0,0,0
Rd_rbs_link_1,0,0,0,0
Rd_rbs_link_2,0,0,0,0
Rd_rbs_link_3,0,0,0,0
Rd_rbs_rocker_1,0,0,0,0
Rd_rbs_rocker_2,0,0,0,0
Rd_rbs_rocker_3,0,0,0,0
Rd_rbs_table,0,0,0,0
ax1_jcs_bottom_cyl_1,0,1,0,0
ax1_jcs_bottom_cyl_2,0,1,0,0
ax1_jcs_bottom_cyl_3,0,1,0,0
ax1_jcs_rev_1,0,1,0,0
ax1_jcs_rev_2,0,1,0,0
ax1_jcs_rev_3,0,1,0,0
hps_bottom_1,0,-430,0,0
hps_bottom_2,1.39E+02,2.15E+02,0,0
hps_bottom_3,-1.39E+03,2.15E+02,0,0
hps_middle_1,-1.00E+02,-4.30E+02,0,0
hps_middle_2,3.80E+01,2.15E+02,0,0
hps_middle_3,-3.80E+01,2.15E+02,0,0
hps_upper_1,0.00E+00,-4.30E+02,4.30E+02,0
hps_upper_2,1.39E+02,2.15E+02,4.30E+02,0
hps_upper_3,-1.39E+02,2.15E+02,4.30E+02,0
